source_artist_label,source_artist_key,source_artist_identity_key,parsed_artist_count,parsed_artists
"[""Carla's Dreams"", 'Deliric']",ca5398aeb8325ff337a7cda75adb75441eadc1bc32dd1ef4c2a0ec5b2a6d5a86,17e1dc4390bcf775520ecb9da27bd75806fb958be1dc2e9d1507a9deb271eedf,2,"[""Carla's Dreams"", 'Deliric']"
"[""Carla's Dreams"", 'EMAA']",dbf601328066ceff4a17aefcf875b21540b843d5642c02b960b29c2e9679708c,8f2ab557b794f2f6c5dbe81b76fa70239cd1f9177c2aceee9d294f995763bab4,2,"[""Carla's Dreams"", 'EMAA']"
"[""Carla's Dreams"", 'INNA', 'Irina Rimes', 'The Motans']",2f9232fae28f0b6cf45d581b66979f543bef0b78d09dfb971f470375e6365e41,2d7d1bc46a06fc94666409906e1872e8b586242c8214bfa80fbf9421b426dc60,4,"[""Carla's Dreams"", 'INNA', 'Irina Rimes', 'The Motans']"
"[""Carla's Dreams"", 'Midi Culture']",9bc243007c87d850af7341a73001f4427987b2c637b2cae660bf6e6397a79ef9,2a1381c91ad4dbd0617d2af7ce4020120f3278d56b2585f9f4e004d108d6d108,2,"[""Carla's Dreams"", 'Midi Culture']"
"[""Cast Of 'Brødrene Mortensens Jul'""]",2d2b6a99c2a7e2e92694a160f787b5394e277ec1ab47445b883a2a79cd93333c,83dabe60e3fd44f82ca921686ad82d314345d99fe8cba1bbef1cd1460d77b140,1,"[""Cast Of 'Brødrene Mortensens Jul'""]"
"[""Ch'cco"", 'Focalistic', 'Mellow & Sleazy']",c8c110b591901b5df1b140fdbb1928ff3d618b043518025997bdb1fc203578e9,0ebeebe6a494c28ae9849433e3d6eba3ec1038afe73e067d78e5543cf3244b95,3,"[""Ch'cco"", 'Focalistic', 'Mellow & Sleazy']"
"[""Ch'cco"", 'Mellow & Sleazy']",98318b98fec537adb7a9fa54aac67299f4a640b49bc7f3c81b7659950e976cf6,c88d5e3a80b1cc6e030302ad3387174718cd3f04d3584c75a10f39150ee2dfea,2,"[""Ch'cco"", 'Mellow & Sleazy']"
"[""Cosmo's Midnight"", 'Ruel']",bcbf6e9cfbdc5e2781e8a61ee9a38dccd20f23da03b4c2d9febd2dc97d7ee151,a333c1923dcd0e46e7348d63187aece2dd93bfef344edc3c2480b27ec250ba9f,2,"[""Cosmo's Midnight"", 'Ruel']"
"[""Cosmo's Midnight"", 'Tove Styrke']",ff764c4d717b8470c77a008107410a8453ebcbffec583e9cdfe150415b690c85,5fa700e61c9b079f73c30db0c36e99ccee5b1134a93304107b6524030c42793e,2,"[""Cosmo's Midnight"", 'Tove Styrke']"
"[""Cristina D'Avena"", 'J-AX']",8d46443bb19dbb9fa8309071c5d38321c975a87eb96a80c262bc93ccee284c2b,97a8491e9df7a1ea1d88479ad9239776ce01932e47477b8a8eb0325c4cc7c904,2,"[""Cristina D'Avena"", 'J-AX']"
"[""D'Cinnamons""]",095f48b3f6836b7a14f2540f3a7982b7c2a6a737dd579f027703f65eedeb88a8,73a95c32760bbc94de7378642dbed0c9ae506d15537e76b98741487717e1b453,1,"[""D'Cinnamons""]"
"[""D'Markuz"", 'Bad Bunny']",6250f907dc4dcceef75a4982217105762947447354767a5d89dfbf45bc610f90,d967fcd64f59d91429036adec7596d8e2fe0a6e1b181c3d88c354a255e4d240e,2,"[""D'Markuz"", 'Bad Bunny']"
"[""D'Sound"", 'J-Son']",7c676cd20219a38e3da741dce0e241a13d6b8e84a97eba939f0e0b13a079e6d6,415333dc45505e358d249e1f30f093eeb3b307c6fe5096777cc614dd2281ad73,2,"[""D'Sound"", 'J-Son']"
"[""Da Youngsta's"", 'NASIIB', 'Blue Weaver']",a3fe03c777dc0b36590f6992ebf962b2d162118003307499973f002831b686b6,826e8e6202f2cd521af47ae9d70a932e325ad87fe58dec4aceb5453d90e817b9,3,"[""Da Youngsta's"", 'NASIIB', 'Blue Weaver']"
"[""Dato' Sri Siti Nurhaliza"", 'Cakra Khan']",39c3092b13f40e647f17885d1a6d76d8a390685a77ad6ae723f8b51966aac174,2315e07348f8e0567d85b95ac8ce6ef41b309c879b0f983d76aa352ca4c38983,2,"[""Dato' Sri Siti Nurhaliza"", 'Cakra Khan']"
"[""Dato' Sri Siti Nurhaliza"", 'Kmy Kmo', 'Luca Sickta']",2091b7d860884129d0dfaf818cafe32cb34d0a0a7a1d6be41b2ba4d837c51106,10170aa491a655f01ac3658ae359b52581aec573274507a30712700a13706a23,3,"[""Dato' Sri Siti Nurhaliza"", 'Kmy Kmo', 'Luca Sickta']"
"[""Dato' Sri Siti Nurhaliza"", 'Noraniza Idris', 'Liza Hanim', 'Anis Suraya']",26a92b902287fa80cef5a8f0a06c957f1d339e3e928bd760139b0c645a6febe6,1381dd921395e3e3d10b904e0a87b8b3b179bd1a0f6453df39c922b10e4eb2bd,4,"[""Dato' Sri Siti Nurhaliza"", 'Noraniza Idris', 'Liza Hanim', 'Anis Suraya']"
"[""Dato' Sudirman"", 'Zaleha Hamid']",053424364fa060595e6c5a3bb070e41048a1307ffdf4861b1533c823dc22ed05,6f74e7a092965b2f6ee5f0d2a603b3bb67b60be6d5996b132af2b536cc60a97e,2,"[""Dato' Sudirman"", 'Zaleha Hamid']"
"[""Dino d'Santiago"", 'Julinho Ksd']",762aeb54e18a254db0f73ac9a2cf8d5a0dfb5f78971d2edbdac0215af16d153e,c9a1e081305bad2ddc04a6dd77cc63fb8426be2ac446c6c912b45beb151c08b5,2,"[""Dino d'Santiago"", 'Julinho Ksd']"
"[""Dino d'Santiago"", 'Slow J']",63b9b9252f437fd825672a9724cc194cb93403e8cd34a64708f7f99cd750e5de,1216eb59596ad7f67936508dbfd23132498cdf777254e2b00400a49a19e56098,2,"[""Dino d'Santiago"", 'Slow J']"
"[""EL'o"", 'Kube']",c1312d1afcda7f9aba62f6813d4fca03b51562b1aca23e536ddb26e51d35771a,3a73a3c9a3b9faac320f55ae8d178f1cbc7813d4b9d0e540ac7f9df823404611,2,"[""EL'o"", 'Kube']"
"[""Gigi D'Agostino"", 'VIZE', 'EMOTIK']",4a71a0907e76aafe84f156ac07e1fcc65388e44e9b1c5eaf31a933ad1a957a5e,84d0601aa9fdc541da4e7b1f24fa04989ea3aa16af855d8a7f01f7e3f5117e1a,3,"[""Gigi D'Agostino"", 'VIZE', 'EMOTIK']"
"[""Gigi D'Alessio"", 'Clementino']",3ad63dc5a934dada0294f679fa9f9a238333be18d45eb65f28bcbdf352eaf4de,9f0da7cdd257a65e128281e2c2421867b39b6d7501610d30df52c09dd8844704,2,"[""Gigi D'Alessio"", 'Clementino']"
"[""Gigi D'Alessio"", 'Enzo Dong']",e9d6a02f19a49ff20411e79b415049a7988f1e7c03f02a3e8aa80de03cb60b7b,0d25bc809a8725bfcfa5900b807b7f8b8f82d5f998097439ce37876a0ce8c982,2,"[""Gigi D'Alessio"", 'Enzo Dong']"
"[""Gigi D'Alessio"", 'Geolier']",67efcd6f46f4a3b77e8002ca1e284e7c2d458fb6ad0ba6ae41a387e30e09f37f,be18a0896057908308f029840ca406e213a51c41a133072ec644e4f05567d733,2,"[""Gigi D'Alessio"", 'Geolier']"
"[""Gigi D'Alessio"", 'Guè']",26e19864012281c6254440ac0788742684cf02147d65d8837f2df97f7caafcd8,ccdc5dc3168ee740adc0f690c879a5e226b7b1bab9ddc8347d7962b2440b6084,2,"[""Gigi D'Alessio"", 'Guè']"
"[""Gigi D'Alessio"", 'J-AX']",d309d9583e66c3f0157e5e06a67b50819b508caaf88f920d18d5b8b9212f2ef5,8758c76850633edaa1094575d50632eff5a4a131825a6b379839200d2090afab,2,"[""Gigi D'Alessio"", 'J-AX']"
"[""Gigi D'Alessio"", 'LDA']",0de5ec615bb0ce54bbb32b890c6fbe7eee1deac8cab25bc24e09963dbcbf27ab,ed5684eab998844c4a1b7b25cf5a59c45e12f7b7a0dc47a07e0d7e5e4b3fb6c6,2,"[""Gigi D'Alessio"", 'LDA']"
"[""Gigi D'Alessio"", 'Lele Blade']",3ffd15be30cecb67b8128ee53f683f26f316e523eb4c57dabf95dde4f475cc3e,ca782eb8e6f8544c35601dacfeb41753e47803552568a9abe3ddd4ca89195324,2,"[""Gigi D'Alessio"", 'Lele Blade']"
"[""Gigi D'Alessio"", 'Rocco Hunt']",83beefa458e655d9305faa160ee82f4ef02c61176e1740aa902c7a0af68075d6,8e11d82bc8d825f53bc95079f0c75864e7a142b193af41d6a737a0c4f4a01e26,2,"[""Gigi D'Alessio"", 'Rocco Hunt']"
"[""Gigi D'Alessio"", 'Samurai Jay']",138b4c0adc1179c92c4497cf27733ca5c0e36d7bd8c548a48955390671a8a8e8,85976d9ffd6f964aa09d3b141f1e646371a857917281e693524dccfc1bebb83f,2,"[""Gigi D'Alessio"", 'Samurai Jay']"
"[""Gigi D'Alessio"", 'Vale Lambo', 'MV Killa', 'LDA', 'CoCo', 'Franco Ricciardi', 'Lele Blade', 'Enzo Dong', 'Clementino', 'Geolier', 'Samurai Jay']",ae448732b2901262c726df0f670e534a146b7b89a30e42fe77532104d56e7ef4,9aefb90fadc6bf0258d1680fa6320f71c95394afaa2909b27b8f8cf169ddec1a,11,"[""Gigi D'Alessio"", 'Vale Lambo', 'MV Killa', 'LDA', 'CoCo', 'Franco Ricciardi', 'Lele Blade', 'Enzo Dong', 'Clementino', 'Geolier', 'Samurai Jay']"
"[""Girls' Generation-TTS""]",a87adc9180b3669dc89a0ee2b9deac78a4308592188b4c121ca64dc7ad0d5bbd,2f9717fb12079cdea4aaa6e1457c7eb8eed823e3e1f89b95758019f830189e1c,1,"[""Girls' Generation-TTS""]"
"[""Heuss L'enfoiré"", 'Jul']",c8e4c9687f34f4ad14fd5e166c328aa0f00d16a3c52f63280fbcc759bf261180,61f01c845c01ff9df65a6592674323a38954676ade651ee0a08ee6da8b0c36c6,2,"[""Heuss L'enfoiré"", 'Jul']"
"[""Heuss L'enfoiré"", 'Koba LaD']",28aed4eb4129a2cfbd2693fe4465c92ab699f2d3f4d275a85dec79171a9208b2,d45266255e429aee77d4405c14b50db1f1d00c54d98742c1bb2e74d20cd07df1,2,"[""Heuss L'enfoiré"", 'Koba LaD']"
"[""Heuss L'enfoiré"", 'Ninho']",b258296e931e30df74936a722de1384c81b0c5be2b1c5809d29e7ddb089f423a,bc8ceb5da76e3b44f315ca6c48147017792a01f80e1bbb7b7436647b6ab09c1b,2,"[""Heuss L'enfoiré"", 'Ninho']"
"[""Heuss L'enfoiré"", 'Sofiane']",edac7cb6244d5e1ef3a04f6184c54837adc2c54fd641c10172a420689921a40f,11e2cf5b26066c9adcd789e732657e53f4f50334d65896a095fe067c2fc5227f,2,"[""Heuss L'enfoiré"", 'Sofiane']"
"[""Heuss L'enfoiré"", 'Soolking']",1620cb0a58fb345457c1e7f203abffc4eefada4b506880e8f2381a798ba04d6a,ea12d17cd1ee038b8c9f32c6b7b85c36450a9bb4b638588651f51cc1b7f319f3,2,"[""Heuss L'enfoiré"", 'Soolking']"
"[""Heuss L'enfoiré"", 'Vald']",a238452bcc75b3bf8cc522bc7aa133452d8b51a00bbb085cfd8533f628057afa,fea3ca74e5daac59f4561b3c8c2419c8e549e25ecd48f87222a7bd631b16cfc4,2,"[""Heuss L'enfoiré"", 'Vald']"
"[""Ici c'est Paris"", 'Bolémvn', 'Koba LaD']",06c55adf9b1e11c7611b354f0b1161f17570dd7faf213c714f505444d15598b6,1cab857448bb52b18c6e445051b10d8df016c334e50782831588a8e6d815946e,3,"[""Ici c'est Paris"", 'Bolémvn', 'Koba LaD']"
"[""It's""]",15522db5ef1251f5ead18530c1ba955e6432c427db8f17bb8bcdc884088da3fa,119e95da7d6b12c5b60aedb333dcd899d27b3703812071d63bbe6fcd841c5511,1,"[""It's""]"
"[""JETSET'ER"", 'Pijika']",91b0e2efff7faf4c670880fe07af54df8f8edab90f745f4e3efa8712340e581d,b6c39a10d638f0d17d7ffdf873faabde1ea27cc77736470dbaf75157cb0a93a5,2,"[""JETSET'ER"", 'Pijika']"
"[""Jok'air"", 'Alkpote', 'Diddi Trix', 'Luv Resval', 'Sadek']",69c0ea0acf58a816dbb977105a5f2fce1a1b4cd8014a7a8dfd9473fd27a88feb,d7f7beaeef02d321374b68f2803832b2baf0872c12e2f2ded14fbe7c067aa009,5,"[""Jok'air"", 'Alkpote', 'Diddi Trix', 'Luv Resval', 'Sadek']"
"[""Jok'air"", 'Alonzo']",fc2a20e9a4fc81524e18ede1f4b00aac9433888b3bfbad45a5309ca2cacaebcf,b1002e888464ce2a2fad3ab9e12c5908c1b2be56f0a1a11886055114a9076e42,2,"[""Jok'air"", 'Alonzo']"
"[""Jok'air"", 'Chilla', 'Yseult']",08a23d8aace368c3d140f5732bf02c34ed6fe00962d7800106783f4970a5d873,e345e2d2a2f364950ca43b936e872c2f2e6a19806d67b27776a779db755d582f,3,"[""Jok'air"", 'Chilla', 'Yseult']"
"[""Jok'air"", 'Laylow']",b56d3f3bb5aa1eb27c388f84575c99292f5fca1687e779bce3bd1281fb502f18,ddfaa60592afd05ec434a34357155ff137d8a2a6ccd8c332f2fa05e17047f07d,2,"[""Jok'air"", 'Laylow']"
"[""Jok'air"", 'Mallaury']",db504bc7d0e93c76044de418a59b032fa99524bbde212ef6429f9d78b5dd017c,2656ba38518cab02a97fb405f363e90a4c736f5c3a53f36e983b9a77d2614489,2,"[""Jok'air"", 'Mallaury']"
"[""K'NAAN"", 'Adam Levine']",a485bca14c325fd448bf13e5542d7d326965b31274da61498723b946fe6949ac,544c8a35f7f2cf8cb70ccd6c690cb6d208faf8ef1673def47ee11b97510377c5,2,"[""K'NAAN"", 'Adam Levine']"
"[""Keen' V"", 'Lorelei B']",051e2bb11ac99b32b54bf53779de97d2b7dc1f83a1861ddcd939f0ef80481bdb,3eb07b9ce061a08a44cf3d4051c95ce558de25e41effd1a01ad024aa7908324a,2,"[""Keen' V"", 'Lorelei B']"
"[""L'Algérino"", ""Heuss L'enfoiré""]",3153e3130315c76a1463bf5b1d609eac98947fb22e12b305a43af0f8a29a0303,bb8dfb11c336444d916d889103460ea6a06e3e43191c1da18da45138fb713b95,2,"[""L'Algérino"", ""Heuss L'enfoiré""]"
"[""L'Algérino"", 'Boef']",47001964c5559ea30f190dddfe4998f5b0ff9e96aa96116333963c87db30a3a4,0bb3689e6294e33024a0e5216d919e94f57de5a1dbd6bbbdc2db8cb9cc88153c,2,"[""L'Algérino"", 'Boef']"
"[""L'Algérino"", 'Jul']",5aec579e35c442a0f7af7d33d860d782b05101176c437d9020febe2610928261,61959f9072b610f0a00297f371effa624931f7328cab3f7af9d1734384751a42,2,"[""L'Algérino"", 'Jul']"
"[""L'Algérino"", 'SCH', 'Jul']",197ce7a242ff7209239dce2510af6662c14a2bcfa0d98cca8ff1a436bbcfd00f,bac1c8ac4b6226e701060a2d19e411dda18ac418afd2fafefee021bb552df4d4,3,"[""L'Algérino"", 'SCH', 'Jul']"
"[""L'Algérino"", 'Soolking']",6a558fbc79d20298ec72ef9bcaaf7c2ac7a710ef7cc547059e95d8b3af70d4d3,c94872f614c22e6cbe39dda136d6a27be0a6d522e24df388acacc4ca1b50b498,2,"[""L'Algérino"", 'Soolking']"
"[""L'Algérino"", 'Soprano', 'Naps', 'Alonzo']",9c42c52009129becaf8c082d2dc438f27862a1948b658693c6a6b62d0bc555a5,05977d72306f5149653e201bd06796d91a0b2ac666a6296db7fd7e40048b4e57,4,"[""L'Algérino"", 'Soprano', 'Naps', 'Alonzo']"
"[""L'Algérino"", 'Soprano']",bd737c5593e4a0bf02f6e290d509b35a056c7f497aa8bb7ab4dfc81f2cfeea43,3404cd16299e7ce7def974f204a20fd004bbc7d704113ca4b569df6c3ddb3d99,2,"[""L'Algérino"", 'Soprano']"
"[""L'Allemand"", 'Bendo']",1b09610207589e4e1a99d0ff86d64a78b8155c435278eec3611823804ff475bb,2c7e97c8e73b1d4e80756c6fc698af17fbbb960081f0d94c9f717a6b0d43b378,2,"[""L'Allemand"", 'Bendo']"
"[""L'Allemand"", 'DA Uzi']",84cc9f03bc6181b16b0af77d69113ad530fa9356b08c5c6b24aaead15e01b7b8,0dc4011a984e438c2de6b2253f776bbe96d42879be416e78b1df8b61312c5db9,2,"[""L'Allemand"", 'DA Uzi']"
"[""L'Omy""]",330601d3b5184dd554154e771e342f09d5a60806e564b8ae55d3437b6c4fdb69,8a52e5e3fb60beee15520adde19183c8736d0fba92e32ccc309d8c2e1eca3aff,1,"[""L'Omy""]"
"[""L'aupaire"", 'Achtabahn']",dc29dfa232b1d17cd0131ac8919d346277595b669c160b0be58cd5da1933bca3,ab5af7a9462686f85606ea931ccb7a708c913483af471109f4cebaa3e2a8363b,2,"[""L'aupaire"", 'Achtabahn']"
"[""L'morphine"", 'Hamza15-3']",be64f457a2d5523b629498c7ea2420fe7e03c62a88f245953a9c211ab2001bc6,5beeaf7cfc2189d74ee27125384aaa8cbae9ba1071534dad5e66567404b16d9f,2,"[""L'morphine"", 'Hamza15-3']"
"[""L'morphine"", 'Mobydick']",3ca9c26f12c1024e2d3d7fa67a788cf1bf77882cdab6d617bf69728ca17a2e4e,8d0594b23b1836c9513adc22ddc89e88ea29779c614a85142cbd0e93e342a524,2,"[""L'morphine"", 'Mobydick']"
"[""L'morphine"", 'Raid']",deda28d9955c35eefa98ec99e619230da92e280e2e9810934c769ccf0b58d450,bbb0f089199db00e65491963ff823b8fa9dcfe1e2908a40b6c881f8767bff77b,2,"[""L'morphine"", 'Raid']"
"[""La K'onga"", 'Matías Valdez']",3792d25ce28b6129991072536fcd3ba8231cd4fde352c4fc0093bab205454511,34a83cb17e576007b7cec2257e704fa3ff3608dda05f0c2062be6b7aa2a22337,2,"[""La K'onga"", 'Matías Valdez']"
"[""La K'onga"", 'Nahuel Pennisi']",66a529706d3e657a790d4032387cddff29dfb1c1260ce6de0b3d5bef6fa19df9,c2e81293607d168128accaf0865f69fe6b878d2e3ab7154a05163be414159241,2,"[""La K'onga"", 'Nahuel Pennisi']"
"[""La K'onga"", 'Rusherking']",566cf8fad28916f421621ac53d6783f642ad43a0569c0cb660eed1bd85eb0dc3,0985ec2fe8d3d33d76e71ef3b1961a65c3deb2c79bed4bf8f5f2283f1c0feef8,2,"[""La K'onga"", 'Rusherking']"
"[""Lai'jhon Hawkins"", 'Kafani']",155f8f8bb4dc48cfff5a50d1649f53b17179d94cc14b1332a367eb042d5cba2e,3b34972e2c205469febfe3a8f55493ea013909b0c7b01a1c1b790bf3c8c259b2,2,"[""Lai'jhon Hawkins"", 'Kafani']"
"[""Leat'eq""]",e8d04a781ece65f0b25408d29cc244ed6e1994a8bee197d16d4dba35e8d23205,92d48fe2d4b12b35cdd2f410ca20edb910117d40bc7e60092c019197d1b6542e,1,"[""Leat'eq""]"
"[""Leyenda Barrial Boy'z""]",9f996416bf31c28bc1d2a60c797cda0f2d3e07f41f864271bf1d7b29f57fce86,f5190ba9e2f74d6e2eae1b03830fa2e9cda0169ee5ac4ecbec2e617989a653cc,1,"[""Leyenda Barrial Boy'z""]"
"[""Lord D'Andre"", 'Nik Tendo']",052388db98f120d485a743c23efe45f73d81e5795a5d0a12b0f8a45fcd7a521e,4371af17730ef0f769e83161837fd458237b91e267a85a14cbd0a0397a68c55c,2,"[""Lord D'Andre"", 'Nik Tendo']"
"[""Los Cadillac's"", 'Wisin']",2064aeebefc9e00ccd81290460f8b211161e65a20f54c776b1ddbe7fdd8042f1,1494ab455ea2d091d55775721040f3dbd3a2310d452df2aa8202b8602dc88553,2,"[""Los Cadillac's"", 'Wisin']"
"[""Los Roller's""]",3747aa88bd4387a5ebade06bd6579120a1bb44deccaecd05d4a9f076ba73cf5a,c2f326f7d485bd5c5c5ff175dac419f9976a871a93c5e032441e72946c42ed05,1,"[""Los Roller's""]"
"[""M'Dee"", 'Skryptonite']",d7434cb5d6e8bc47d802d7738ed94c25c457dd4779d1df7ddeb5eda7e4512b48,895867f32e5984686f142e87059b1dfa5d4a91c74917ff891dac780726dd98e0,2,"[""M'Dee"", 'Skryptonite']"
"[""MC's Zaac"", 'Jerry']",cdc90a280c0afabe3d26c9cf05d1babf5d413007277875390abe5c92d86c281d,37b4dc257d27ce2deb3bf4699d26a85025a57f3c3dd8498e0159dcb292832b9d,2,"[""MC's Zaac"", 'Jerry']"
"[""Mahlano Da'don"", 'Focus Raziel']",660bb3b61ca81ec9abdf548fa2a484874843bc7bc005b59f3f93aefb638ed120,fdb6c63b1d0bebd469c5f2750dc7b45627e85c666a3cb223fbce860f79c542b2,2,"[""Mahlano Da'don"", 'Focus Raziel']"
"[""Martin's"", 'sabrina']",98dc65d039a253d6d06f32676862849eb03763fea35948384989a09ff0170d10,18e303efe18c69f66f4e86222c2c9ef101f85ab58e605eb668355810e98e16cc,2,"[""Martin's"", 'sabrina']"
"[""Max Wallin'"", 'Fmg']",fd1278aa092554134ca1056ce7d3512d62af02eeeade9338acc023af9522c5f7,f5c52a92bd9937c0d81ca24e7021aecfbcc2d3668514d28d75f7c2fb49aa116c,2,"[""Max Wallin'"", 'Fmg']"
"[""Moov'art"", 'MC JAY']",ede2a7694576df825925be926baecdfd577d02164b086a46b5b6e3dd981e2eca,54f8113a4be5b8e2d18132fed4828bbd24d20172569cf72dcfa60d74170469e8,2,"[""Moov'art"", 'MC JAY']"
"[""N'Samble""]",e58df04c211e29bd0cb5ebe0cc73b0c2ff1630566921d2a1e71c2cdc465f44a6,83ad26935d0e0f3f5df263694f907794d3f195a7193ddd4b4bf42313caeed685,1,"[""N'Samble""]"
"[""Opetaia Foa'i"", 'Lin-Manuel Miranda']",2159e27a1cffd75f9c01ee27236b4b2cc4e9a46184b09881edffe0e62798c585,d51af44fa14e0d789c208a69b297802b0926c835d098a4cf2798dd3315230302,2,"[""Opetaia Foa'i"", 'Lin-Manuel Miranda']"
"[""Pavell & Venci Venc'"", 'ALMA']",a60df82d37672b478d09a9ad0bdc553b7f4a43270c5f3ee5a87d5f4e8bfa94bd,1e6d87f41819c060c49f072ff8a1f54c103884d688b079e50103901d15b6f640,2,"[""Pavell & Venci Venc'"", 'ALMA']"
"[""Pavell & Venci Venc'"", 'DARA']",1b13f80bd7cdce66546f2ed8aa397be4e883a0ff0a54278e68c246d4dc007b61,ed31781e89c4e97b2f9ad4fe9020416144feaab232b35c3354aa59c92cb258c2,2,"[""Pavell & Venci Venc'"", 'DARA']"
"[""Pavell & Venci Venc'"", 'Kristian Kostov']",b41a0fdaed26c1e6e44de0efca9129231a47849172214557e045b2e1d38ab080,a41541185f145b5338ca9892adbde6f1349172aa90122a9b27385572834eb103,2,"[""Pavell & Venci Venc'"", 'Kristian Kostov']"
"[""Pavell & Venci Venc'"", 'Lubo Kirov']",678bc5b075af3cbc9f86543a79454da5dbe4ff4addb6ba637d934f79f7066d72,0fc615da731c55d2784b615e5932adcf55148b71954aa6a24a468f6a2271fd48,2,"[""Pavell & Venci Venc'"", 'Lubo Kirov']"
"[""Pavell & Venci Venc'"", 'MAGI']",928903aff2ce50bab4eb78ea535a09e1609253e18820fe1651313ef4ced37438,505ced760dc32e787976becf3c0efdb9e2455e99a4163fce4ab7d93a52525a64,2,"[""Pavell & Venci Venc'"", 'MAGI']"
"[""Pavell & Venci Venc'"", 'Martz Beatz', 'Mihaela Fileva']",7e358860f37713cf94af8ede15c139fbf3cb3b5f7bb5d906cb465f382636a944,40f8a845d2e7998f5384beaf70d62243b87568dc956da0f8b868baa57ffb607c,3,"[""Pavell & Venci Venc'"", 'Martz Beatz', 'Mihaela Fileva']"
"[""Pavell & Venci Venc'"", 'Mihaela Fileva']",acd4ba3a7820040749dd9e6fc212081396ca083a530e4ab619349094a3f9bc20,89780b03b2ca19a8a8f35cc62d5b0f081eb4562813d517e72c36feffc1aa43fe,2,"[""Pavell & Venci Venc'"", 'Mihaela Fileva']"
"[""Pavell & Venci Venc'"", 'Moisey']",54528d4294eaeea59aaf4fcd27840972ee16dce2b2b697b88fcf388b9d4c3fc8,031474941f43fe79aacfe943cb966e3597f670a6e79c4ac1e8397cb1192953eb,2,"[""Pavell & Venci Venc'"", 'Moisey']"
"[""Pavell & Venci Venc'"", 'X', 'Dee']",1c6020357c1264b4c37b7e5885d1f6cc3f07772e225e542eb6a52bc08afe909c,2b712f87b9a56b6f4203138529ba56ff82803ffc66a5f6d2865330fbdb47e2fb,3,"[""Pavell & Venci Venc'"", 'X', 'Dee']"
"[""Pavell & Venci Venc'"", 'X']",7d9c266b1ae15f9986b51b4fb5ec9a9a49f6405bdb035236a6439deca009546f,d10584590799f1870e0d14f51920d8e8010e3f83add3ba59256d9c14e8f7fe0c,2,"[""Pavell & Venci Venc'"", 'X']"
"[""Pelo D'Ambrosio"", 'Los Amantes del Balón']",3910418a00d9aabd563ceebceb85324c0b14ae10fe93c204a093f6c597eeca5b,aae23d1c1084b5d13be297c64bae54dd531d22f42768edc3614ef92e46565627,2,"[""Pelo D'Ambrosio"", 'Los Amantes del Balón']"
